product_id,product_name,category,price
24,Progressive interactive matrices,Clothing,150.96
5,Compatible neutral conglomeration,Clothing,259.45
73,Diverse global emulation,Electronics,24.89
51,Innovative eco-centric open architecture,Books,376.97
74,Intuitive foreground projection,Toys,460.35
90,Distributed attitude-oriented projection,Grocery,138.16
1,Programmable national access,Home & Kitchen,60.69
100,Reverse-engineered radical knowledgebase,Home & Kitchen,13.83
103,Sharable scalable monitoring,Grocery,17.65
17,Virtual needs-based analyzer,Grocery,310.85
38,Operative tangible system engine,Grocery,394.79
110,Devolved grid-enabled forecast,Sports & Outdoors,32.12
120,Stand-alone human-resource implementation,Beauty,480.4
40,Grass-roots local contingency,Toys,103.55
49,Programmable national success,Books,221.73
113,Polarized exuding access,Toys,179.34
76,Robust secondary infrastructure,Home & Kitchen,287.05
86,Phased neutral application,Clothing,448.95
29,Persevering foreground solution,Home & Kitchen,70.39
46,User-centric coherent leverage,Toys,347.93
101,Self-enabling value-added productivity,Books,48.71
79,Programmable local installation,Grocery,6.96
89,Customer-focused empowering process improvement,Beauty,463.24
72,Open-architected asynchronous artificial intelligence,Home & Kitchen,447.45
91,Networked fault-tolerant emulation,Home & Kitchen,80.24
23,Re-engineered clear-thinking application,Electronics,380.72
41,Re-engineered clear-thinking orchestration,Books,437.59
84,Expanded composite infrastructure,Sports & Outdoors,54.66
63,Streamlined national conglomeration,Books,269.59
82,Switchable eco-centric synergy,Toys,14.88
102,Re-contextualized intermediate moderator,Grocery,28.17
56,Organized value-added groupware,Clothing,251.29
94,De-engineered multi-tasking concept,Electronics,109.87
21,Virtual multimedia focus group,Sports & Outdoors,86.6
18,Polarized holistic process improvement,Clothing,408.16
42,Synergized discrete attitude,Home & Kitchen,187.81
