employee_id,name,department,salary,city,join_date,years_exp,status
EMP0132,Employee_132,Sales,145927,Bangalore,2017-01-13,19,
EMP0133,Employee_133,Operations,53918,Hyderabad,2018-11-26,14,On Leave
EMP0134,Employee_134,Marketing,72159,Bangalore,2019-08-14,16,On Leave
EMP0135,Employee_135,Operations,174204,Mumbai,2020-02-06,3,On Leave
EMP0136,Employee_136,Marketing,135952,Kolkata,2020-10-08,1,
EMP0137,Employee_137,Finance,165905,Bangalore,2021-12-25,16,
EMP0138,Employee_138,Engineering,173974,Delhi,2018-03-25,15,
EMP0139,Employee_139,Engineering,,Pune,2021-10-29,8,Inactive
EMP0140,Employee_140,Marketing,174769,Hyderabad,2016-01-17,8,Active
EMP0141,Employee_141,Finance,70362,Hyderabad,2023-01-14,10,On Leave
EMP0142,Employee_142,Finance,153789,Delhi,2020-02-14,18,Inactive
EMP0143,Employee_143,Finance,163232,Pune,2016-07-13,3,On Leave
EMP0144,Employee_144,Finance,163100,Bangalore,2015-01-11,10,On Leave
EMP0145,Employee_145,HR,158356,Kolkata,2016-08-31,15,
EMP0146,Employee_146,Marketing,172456,Hyderabad,2020-02-09,11,Inactive
EMP0147,Employee_147,Operations,130393,Delhi,2019-08-10,2,On Leave
EMP0148,Employee_148,Operations,129937,Hyderabad,2022-06-11,5,
EMP0149,Employee_149,Engineering,117030,Kolkata,2016-02-16,15,Active
EMP0150,Employee_150,HR,34023,Pune,2016-08-13,14,Inactive
EMP0151,Employee_151,Engineering,99474,Bangalore,2021-12-27,13,Active
EMP0152,Employee_152,Marketing,169885,Hyderabad,2018-07-21,16,Active
EMP0153,Employee_153,HR,105334,Delhi,2016-01-06,14,Active
EMP0154,Employee_154,Operations,56347,Hyderabad,2016-11-12,10,Active
EMP0155,Employee_155,Engineering,44711,Bangalore,2019-01-08,12,
EMP0156,Employee_156,Sales,138016,Chennai,2022-08-24,6,Inactive
EMP0157,Employee_157,Sales,130281,Chennai,2022-08-30,8,
EMP0158,Employee_158,HR,150887,Pune,2017-11-06,15,On Leave
EMP0159,Employee_159,Operations,,Kolkata,2020-03-20,10,Inactive
EMP0160,Employee_160,Engineering,120587,Chennai,2018-05-10,14,On Leave
EMP0161,Employee_161,Finance,82223,Hyderabad,2020-06-02,4,Inactive
EMP0162,Employee_162,Finance,107561,Pune,2018-04-24,1,
EMP0163,Employee_163,Marketing,,Kolkata,2022-09-10,2,
EMP0164,Employee_164,Marketing,90324,Chennai,2018-12-14,8,Inactive
EMP0165,Employee_165,HR,65855,Pune,2016-02-02,2,On Leave
EMP0166,Employee_166,Finance,,Bangalore,2023-03-19,5,Active
EMP0167,Employee_167,Marketing,138921,Delhi,2017-04-02,5,On Leave
EMP0168,Employee_168,HR,101441,Kolkata,2016-11-04,9,
EMP0169,Employee_169,Marketing,118792,Kolkata,2016-04-16,15,Active
EMP0170,Employee_170,Sales,89143,Kolkata,2022-08-02,13,On Leave
EMP0171,Employee_171,Engineering,33648,Bangalore,2021-01-06,4,
EMP0172,Employee_172,Marketing,98724,Chennai,2019-04-10,12,Active
EMP0173,Employee_173,Operations,36560,Chennai,2021-04-18,11,Inactive
EMP0174,Employee_174,Operations,151704,Pune,2018-05-22,14,Active
EMP0175,Employee_175,Sales,,Mumbai,2018-05-31,16,Active
EMP0176,Employee_176,Engineering,170914,Delhi,2019-05-11,15,On Leave
EMP0177,Employee_177,Operations,171608,Hyderabad,2021-08-02,5,
EMP0178,Employee_178,Operations,158279,Chennai,2019-07-30,9,Active
EMP0179,Employee_179,Operations,146230,Hyderabad,2017-08-25,12,Active
EMP0180,Employee_180,Operations,124024,Mumbai,2019-06-19,9,Inactive
EMP0181,Employee_181,Engineering,149201,Mumbai,2022-06-07,7,Active
EMP0182,Employee_182,Engineering,93850,Delhi,2021-05-01,7,Active
EMP0183,Employee_183,HR,86610,Kolkata,2017-08-12,11,Inactive
EMP0184,Employee_184,HR,,Kolkata,2016-08-15,5,On Leave
EMP0185,Employee_185,Sales,36758,Delhi,2015-03-02,12,Inactive
EMP0186,Employee_186,HR,75677,Bangalore,2015-08-03,5,
EMP0187,Employee_187,HR,46661,Hyderabad,2020-01-11,12,Active
EMP0188,Employee_188,Finance,41367,Pune,2022-05-22,17,On Leave
EMP0189,Employee_189,Finance,38165,Mumbai,2020-05-15,13,
EMP0190,Employee_190,Operations,146277,Mumbai,2015-11-27,11,Inactive
EMP0191,Employee_191,Engineering,173748,Pune,2018-08-24,13,On Leave
EMP0192,Employee_192,Finance,142774,Mumbai,2022-11-14,4,Inactive
EMP0193,Employee_193,Finance,89898,Hyderabad,2018-10-20,15,
EMP0194,Employee_194,Finance,111932,Hyderabad,2018-07-04,9,On Leave
EMP0195,Employee_195,Sales,154326,Mumbai,2016-01-09,3,Active
EMP0196,Employee_196,Finance,127687,Kolkata,2016-06-16,18,Active
EMP0197,Employee_197,HR,177241,Bangalore,2022-07-07,4,
EMP0198,Employee_198,Marketing,140870,Kolkata,2023-02-01,2,On Leave
EMP0199,Employee_199,HR,57158,Chennai,2020-09-09,7,Inactive
EMP0200,Employee_200,Operations,58368,Bangalore,2021-03-28,12,Active
EMP0201,Employee_201,Marketing,142489,Kolkata,2021-04-16,20,Active
EMP0202,Employee_202,HR,100109,Mumbai,2017-01-08,9,On Leave
EMP0203,Employee_203,Marketing,77554,Kolkata,2016-08-09,19,
EMP0204,Employee_204,Engineering,38036,Mumbai,2020-12-12,7,
EMP0205,Employee_205,Finance,71263,Bangalore,2018-06-30,11,Active
EMP0206,Employee_206,Engineering,43044,Pune,2015-12-01,9,
EMP0207,Employee_207,Operations,145879,Hyderabad,2018-01-23,7,Active
EMP0208,Employee_208,Marketing,104251,Pune,2022-08-11,19,
EMP0209,Employee_209,HR,41905,Delhi,2019-06-07,20,Active
EMP0210,Employee_210,Engineering,85373,Kolkata,2016-07-16,9,On Leave
EMP0211,Employee_211,Marketing,160386,Pune,2019-10-30,6,Inactive
EMP0212,Employee_212,Finance,90322,Chennai,2021-04-07,12,Active
EMP0213,Employee_213,Finance,41089,Hyderabad,2015-03-18,15,Active
EMP0214,Employee_214,Marketing,136017,Pune,2022-03-07,14,On Leave
EMP0215,Employee_215,Engineering,115136,Delhi,2021-12-06,15,On Leave
EMP0216,Employee_216,Engineering,57751,Delhi,2019-11-20,19,
EMP0217,Employee_217,HR,111336,Pune,2018-10-22,8,On Leave
EMP0218,Employee_218,Sales,59891,Chennai,2020-09-19,7,On Leave
EMP0219,Employee_219,Marketing,68716,Delhi,2016-02-26,5,On Leave
EMP0220,Employee_220,Sales,70073,Kolkata,2022-05-08,3,Inactive
EMP0221,Employee_221,Operations,177779,Kolkata,2021-07-01,15,On Leave
EMP0222,Employee_222,Operations,145281,Mumbai,2020-04-04,15,On Leave
EMP0223,Employee_223,Marketing,122259,Chennai,2015-10-31,10,
EMP0224,Employee_224,Finance,,Bangalore,2018-03-21,3,Active
EMP0225,Employee_225,HR,130789,Hyderabad,2021-07-05,18,Active
EMP0226,Employee_226,Finance,179856,Pune,2017-02-10,11,
EMP0227,Employee_227,HR,46219,Hyderabad,2016-02-28,11,Active
EMP0228,Employee_228,HR,40260,Delhi,2022-12-08,15,
EMP0229,Employee_229,HR,71614,Bangalore,2019-03-08,10,
EMP0230,Employee_230,Finance,43727,Kolkata,2022-01-28,11,Active
EMP0231,Employee_231,Marketing,131335,Bangalore,2017-10-29,20,Inactive
EMP0232,Employee_232,Marketing,67074,Bangalore,2018-06-24,13,Inactive
EMP0233,Employee_233,HR,52208,Bangalore,2021-04-08,13,On Leave
EMP0234,Employee_234,Sales,167990,Mumbai,2022-03-31,14,On Leave
EMP0235,Employee_235,Engineering,77254,Delhi,2018-10-31,16,Inactive
EMP0236,Employee_236,Sales,70617,Mumbai,2018-04-26,4,Active
EMP0237,Employee_237,Operations,64353,Chennai,2019-03-24,5,Inactive
EMP0238,Employee_238,Sales,73395,Pune,2019-11-28,2,
EMP0239,Employee_239,Marketing,92267,Hyderabad,2021-11-05,10,
EMP0240,Employee_240,Sales,111125,Kolkata,2020-04-05,7,On Leave
EMP0241,Employee_241,Operations,145499,Hyderabad,2018-02-28,13,
EMP0242,Employee_242,Sales,66280,Kolkata,2017-10-21,2,
EMP0243,Employee_243,Marketing,56893,Pune,2020-10-14,4,On Leave
EMP0244,Employee_244,Engineering,101510,Hyderabad,2020-10-03,5,
EMP0245,Employee_245,Engineering,88205,Kolkata,2020-01-22,12,Active
EMP0246,Employee_246,Finance,161598,Bangalore,2017-08-23,13,Active
EMP0247,Employee_247,Marketing,113541,Mumbai,2023-01-06,11,Inactive
EMP0248,Employee_248,Sales,,Kolkata,2020-04-19,5,
EMP0249,Employee_249,Finance,50768,Mumbai,2017-11-14,7,Inactive
EMP0250,Employee_250,HR,168352,Hyderabad,2016-03-31,10,Inactive
EMP0251,Employee_251,Marketing,92505,Hyderabad,2022-03-02,20,
EMP0252,Employee_252,Engineering,161027,Chennai,2021-01-04,1,Inactive
EMP0253,Employee_253,Operations,142522,Mumbai,2021-11-23,12,Inactive
EMP0254,Employee_254,HR,52443,Chennai,2019-01-17,3,Active
EMP0255,Employee_255,Finance,41412,Pune,2019-05-04,12,On Leave
EMP0256,Employee_256,Operations,,Kolkata,2015-10-04,12,Inactive
EMP0257,Employee_257,Operations,57174,Kolkata,2021-07-11,11,Inactive
EMP0258,Employee_258,Engineering,118748,Kolkata,2022-03-17,6,
EMP0259,Employee_259,Operations,77783,Kolkata,2016-07-06,3,
EMP0260,Employee_260,Engineering,41483,Kolkata,2017-03-28,2,On Leave
EMP0261,Employee_261,Marketing,172352,Hyderabad,2017-11-03,2,Inactive
EMP0262,Employee_262,Marketing,42531,Kolkata,2022-05-09,11,On Leave
EMP0263,Employee_263,Engineering,144544,Hyderabad,2019-12-07,13,On Leave
EMP0264,Employee_264,Sales,160422,Bangalore,2020-10-27,9,Active
EMP0265,Employee_265,Operations,142881,Chennai,2017-01-09,18,On Leave
EMP0266,Employee_266,Marketing,115962,Pune,2018-04-25,10,
EMP0267,Employee_267,HR,73684,Pune,2019-12-24,12,
EMP0268,Employee_268,Engineering,122421,Chennai,2019-11-17,9,Active
EMP0269,Employee_269,Engineering,136485,Bangalore,2020-10-02,6,Active
EMP0270,Employee_270,Sales,144864,Mumbai,2016-06-01,3,Inactive
EMP0271,Employee_271,Operations,130362,Chennai,2015-05-13,20,Inactive
EMP0272,Employee_272,Operations,127246,Bangalore,2019-12-24,3,Inactive
EMP0273,Employee_273,HR,112414,Pune,2018-02-15,8,Active
EMP0274,Employee_274,Engineering,160821,Chennai,2019-05-05,18,Active
EMP0275,Employee_275,Marketing,146987,Delhi,2021-11-11,10,
EMP0276,Employee_276,Sales,49412,Hyderabad,2016-12-08,15,Active
EMP0277,Employee_277,Operations,113778,Pune,2018-11-24,3,On Leave
EMP0278,Employee_278,Marketing,75636,Kolkata,2019-01-20,17,Inactive
EMP0279,Employee_279,Engineering,66405,Delhi,2020-07-16,1,On Leave
EMP0280,Employee_280,HR,152527,Kolkata,2021-03-09,5,Active
EMP0281,Employee_281,Engineering,155479,Chennai,2019-08-10,14,Active
EMP0282,Employee_282,Sales,49441,Hyderabad,2020-03-23,17,On Leave
EMP0283,Employee_283,Sales,174520,Pune,2021-08-04,6,Inactive
EMP0284,Employee_284,Finance,44526,Kolkata,2016-05-23,17,Inactive
EMP0285,Employee_285,Marketing,114583,Pune,2017-07-12,12,On Leave
EMP0286,Employee_286,Engineering,174399,Bangalore,2016-05-27,10,Active
EMP0287,Employee_287,HR,70421,Delhi,2022-05-22,20,On Leave
EMP0288,Employee_288,HR,,Kolkata,2015-04-27,3,Active
EMP0289,Employee_289,Operations,99377,Pune,2017-05-13,19,
EMP0290,Employee_290,HR,160557,Pune,2021-02-12,10,On Leave
EMP0291,Employee_291,Finance,136454,Bangalore,2020-02-01,3,Active
EMP0292,Employee_292,Sales,156943,Hyderabad,2017-04-15,11,Inactive
EMP0293,Employee_293,Marketing,113706,Pune,2018-11-15,13,Inactive
EMP0294,Employee_294,Marketing,57835,Bangalore,2017-09-17,15,Active
EMP0295,Employee_295,Marketing,66930,Mumbai,2015-07-27,10,
EMP0296,Employee_296,HR,71864,Kolkata,2018-09-03,19,On Leave
EMP0297,Employee_297,Sales,160617,Chennai,2020-03-27,16,On Leave
EMP0298,Employee_298,Finance,,Hyderabad,2020-09-01,15,Inactive
EMP0299,Employee_299,Sales,42755,Mumbai,2018-02-26,16,
EMP0300,Employee_300,Marketing,58179,Hyderabad,2016-07-02,9,On Leave
EMP0301,Employee_301,Finance,135010,Mumbai,2021-05-24,18,Inactive
EMP0302,Employee_302,Marketing,49275,Hyderabad,2020-08-27,15,On Leave
EMP0303,Employee_303,HR,61145,Delhi,2016-02-01,13,On Leave
EMP0304,Employee_304,Marketing,125841,Kolkata,2016-08-13,7,
EMP0305,Employee_305,HR,,Mumbai,2016-07-15,11,
EMP0306,Employee_306,HR,165136,Delhi,2018-09-05,20,On Leave
EMP0307,Employee_307,Sales,108442,Chennai,2018-10-09,17,
EMP0308,Employee_308,Operations,154490,Kolkata,2015-03-10,12,On Leave
EMP0309,Employee_309,Operations,139193,Chennai,2018-06-14,1,
EMP0310,Employee_310,Marketing,89649,Pune,2015-07-30,19,
EMP0311,Employee_311,Sales,129664,Delhi,2022-08-20,8,Active
EMP0312,Employee_312,HR,58808,Delhi,2015-03-19,15,On Leave
EMP0313,Employee_313,Finance,83448,Hyderabad,2020-08-17,20,
EMP0314,Employee_314,Operations,66197,Chennai,2017-04-29,18,On Leave
EMP0315,Employee_315,Operations,128782,Bangalore,2016-12-10,15,On Leave
EMP0316,Employee_316,HR,99300,Chennai,2020-06-06,7,Inactive
EMP0317,Employee_317,Marketing,88947,Bangalore,2018-03-29,7,
EMP0318,Employee_318,Marketing,176928,Kolkata,2023-02-03,9,On Leave
EMP0319,Employee_319,Engineering,172394,Hyderabad,2019-06-05,12,Inactive
EMP0320,Employee_320,Marketing,,Pune,2015-11-20,12,
EMP0321,Employee_321,Operations,155587,Delhi,2017-04-07,18,On Leave
EMP0322,Employee_322,HR,65985,Mumbai,2021-11-26,19,Inactive
EMP0323,Employee_323,Sales,169209,Delhi,2022-02-26,8,Active
EMP0324,Employee_324,Engineering,153837,Mumbai,2022-08-22,5,Active
EMP0325,Employee_325,HR,71403,Hyderabad,2022-04-28,16,
EMP0326,Employee_326,Operations,105299,Bangalore,2018-03-15,2,Active
EMP0327,Employee_327,Operations,170286,Pune,2023-02-09,2,Inactive
EMP0328,Employee_328,Finance,76081,Mumbai,2019-06-15,16,Inactive
EMP0329,Employee_329,Operations,105882,Mumbai,2015-02-07,10,Active
EMP0330,Employee_330,Marketing,172422,Chennai,2020-07-16,5,
EMP0331,Employee_331,Marketing,59529,Bangalore,2016-10-27,15,On Leave
EMP0332,Employee_332,Operations,118371,Kolkata,2018-04-23,19,Inactive
EMP0333,Employee_333,Sales,136296,Kolkata,2019-10-18,17,On Leave
EMP0334,Employee_334,Engineering,55004,Delhi,2016-07-29,16,On Leave
EMP0335,Employee_335,Sales,,Hyderabad,2017-08-22,15,On Leave
EMP0336,Employee_336,Marketing,32997,Bangalore,2022-05-01,12,Inactive
EMP0337,Employee_337,Engineering,152000,Bangalore,2016-10-16,13,On Leave
EMP0338,Employee_338,Operations,107342,Bangalore,2021-11-22,8,Inactive
EMP0339,Employee_339,Sales,149269,Pune,2021-10-17,12,
EMP0340,Employee_340,Operations,153424,Kolkata,2021-01-10,7,Inactive
EMP0341,Employee_341,Operations,51461,Chennai,2020-01-04,17,On Leave
EMP0342,Employee_342,Engineering,59414,Mumbai,2021-02-21,17,Inactive
EMP0343,Employee_343,HR,73132,Bangalore,2020-11-01,15,Active
EMP0344,Employee_344,Operations,158143,Mumbai,2020-09-21,15,Active
EMP0345,Employee_345,Finance,138901,Hyderabad,2021-04-28,2,
EMP0346,Employee_346,Operations,35706,Hyderabad,2017-11-08,1,Inactive
EMP0347,Employee_347,HR,141069,Bangalore,2022-11-08,3,Active
EMP0348,Employee_348,Engineering,153750,Mumbai,2018-03-21,14,Inactive
EMP0349,Employee_349,Sales,140195,Bangalore,2019-04-16,15,
EMP0350,Employee_350,Finance,171374,Delhi,2022-04-30,12,Active
EMP0351,Employee_351,Sales,133037,Chennai,2016-06-05,8,Active
EMP0352,Employee_352,Engineering,151373,Pune,2023-01-24,18,
EMP0353,Employee_353,HR,90205,Delhi,2020-03-01,12,Inactive
EMP0354,Employee_354,Marketing,59581,Mumbai,2022-05-28,14,Active
EMP0355,Employee_355,Sales,56449,Chennai,2015-05-18,15,Active
EMP0356,Employee_356,Sales,135451,Hyderabad,2017-08-17,18,Inactive
EMP0357,Employee_357,Engineering,105828,Delhi,2023-03-16,19,On Leave
EMP0358,Employee_358,HR,114060,Delhi,2018-05-21,5,Inactive
EMP0359,Employee_359,Finance,45979,Chennai,2021-08-20,6,
EMP0360,Employee_360,HR,120286,Pune,2022-07-12,13,On Leave
EMP0361,Employee_361,Operations,69116,Bangalore,2019-03-22,6,
EMP0362,Employee_362,Sales,108836,Kolkata,2022-12-08,5,
EMP0363,Employee_363,Engineering,139185,Chennai,2020-12-10,5,
EMP0364,Employee_364,Sales,116576,Pune,2015-11-20,15,On Leave
EMP0365,Employee_365,Engineering,79933,Mumbai,2018-01-04,13,Active
EMP0366,Employee_366,Engineering,176499,Delhi,2020-05-17,7,On Leave
EMP0367,Employee_367,Marketing,34019,Delhi,2017-02-17,4,
EMP0368,Employee_368,Sales,83611,Hyderabad,2017-09-07,18,On Leave
EMP0369,Employee_369,Marketing,169893,Pune,2019-01-11,10,On Leave
EMP0370,Employee_370,Marketing,160358,Hyderabad,2016-02-08,16,On Leave
EMP0371,Employee_371,Sales,138509,Mumbai,2021-04-23,8,Inactive
EMP0372,Employee_372,Engineering,139465,Bangalore,2016-09-16,7,On Leave
EMP0373,Employee_373,Sales,94416,Hyderabad,2021-03-05,11,On Leave
